	true	false	gap	ext	matrix	t_min	f_min
293	0.7	0.88	14	5	BLOSUM62	1.9045026299222885	7.286358984479892
294	0.7	0.9	15	5	BLOSUM62	1.8989639488873877	7.32967472635461
295	0.68	0.88	16	5	BLOSUM62	1.8645279064663622	7.251411724275659
296	0.7	0.86	17	5	BLOSUM62	1.8720748878652618	7.223115285021891
297	0.66	0.86	18	5	BLOSUM62	1.8290531072438316	7.211722085384277
298	0.7	0.86	19	5	BLOSUM62	1.8834949926119344	7.206552780719216
299	0.7	0.88	20	5	BLOSUM62	1.8843152125718812	7.258524782034725
300	0.7	0.54	1	1	PAM100	1.296032088494022	1.673876523592289
301	0.7	0.54	2	1	PAM100	0.9849740544655604	1.6119648816840837
302	0.7	0.58	3	1	PAM100	0.8485384054865431	1.5584415916765157
303	0.7	0.6	4	1	PAM100	0.7541618338712052	1.5413173410874887
304	0.7	0.62	5	1	PAM100	0.6980911997594695	1.5107169189765408
305	0.68	0.62	6	1	PAM100	0.6412947108870619	1.472116848134532
306	0.7	0.62	7	1	PAM100	0.6401865002596852	1.4435254658829784
307	0.7	0.64	8	1	PAM100	0.6234436094213428	1.4404585182086642
308	0.7	0.66	9	1	PAM100	0.6146702284787949	1.4469438925589222
309	0.7	0.64	10	1	PAM100	0.6094648253017286	1.4299536977531335
310	0.7	0.66	11	1	PAM100	0.6127402682194759	1.4480595270203118
311	0.68	0.66	12	1	PAM100	0.5998525758128594	1.4469620212243268
312	0.68	0.64	13	1	PAM100	0.600373611191196	1.4359510044279329
313	0.68	0.64	14	1	PAM100	0.6024549645214947	1.4385324157068156
314	0.66	0.64	15	1	PAM100	0.5946638521966914	1.4421413148600093
315	0.7	0.64	16	1	PAM100	0.6253231416221712	1.4466586972131033
316	0.7	0.64	17	1	PAM100	0.6285429851937537	1.4525643894892806
317	0.7	0.64	18	1	PAM100	0.6318910338935413	1.4591605143426034
318	0.7	0.64	19	1	PAM100	0.6358348906580169	1.4658771211236368
319	0.7	0.64	20	1	PAM100	0.6398436824874273	1.4725937279046704
320	0.7	0.58	1	2	PAM100	1.966836897499349	3.458666086200716
321	0.7	0.62	2	2	PAM100	1.63409037987432	3.3557531296818888
322	0.7	0.66	3	2	PAM100	1.3380995226926689	3.172255748399501
323	0.7	0.68	4	2	PAM100	1.0733583968158633	2.9559971952484188
324	0.7	0.72	5	2	PAM100	0.9889115069714244	2.952546044820495
325	0.7	0.74	6	2	PAM100	0.9321430003867007	2.9003124553462505
326	0.7	0.76	7	2	PAM100	0.9115987119203995	2.858594408032132
327	0.7	0.76	8	2	PAM100	0.8787128099322464	2.8066236101104214
328	0.7	0.76	9	2	PAM100	0.8759472541526593	2.7731079139908505
329	0.7	0.78	10	2	PAM100	0.8559220467079551	2.7947164084592866
330	0.7	0.78	11	2	PAM100	0.8722136250750474	2.7862039293579755
331	0.7	0.8	12	2	PAM100	0.8656466899223788	2.799342547949799
332	0.68	0.8	13	2	PAM100	0.8567955126308269	2.796655570364769
333	0.68	0.78	14	2	PAM100	0.8585281928078721	2.790738756844762
334	0.68	0.76	15	2	PAM100	0.860959797051204	2.784889938563369
335	0.68	0.76	16	2	PAM100	0.8637380826738892	2.78912508344459
336	0.68	0.76	17	2	PAM100	0.8665163682965745	2.7944321626728437
